Name,PokemonID,MonsNo,FormNo,Type 1,Type 2,Egg Group 1,Egg Group 2,Ability1,Ability2,Ability3,HP,Attack,Defense,Special Attack,Special Defense,Speed,Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TM Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egg Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tutor Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egg,0,0,0,Normal,,None,None,—,—,—,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulbasaur,1,1,0,Grass,Poison,Monster,Grass,Chlorophyll,Overgrow,Grassy Surge,45,49,49,65,65,45,1,Growl,1,Tackle,5,Vine Whip,8,Leech Seed,11,Razor Leaf,14,Poison Powder,14,Sleep Powder,17,Sludge,20,Take Down,23,Sweet Scent,26,Sludge Bomb,29,Growth,32,Worry Seed,35,Double-Edge,36,Solar Beam,38,Synthesis,41,Seed Bomb,44,Leaf Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Bullet Seed,Hidden Power,Sunny Day,Light Screen,Protect,Giga Drain,Safeguard,Solar Beam,Double Team,Sludge Bomb,Attract,Energy Ball,False Swipe,Flash,Swords Dance,Grass Knot,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skull Bash,Petal Dance,Curse,Ingrain,Nature Power,Charm,Magical Leaf,Amnesia,Leaf Storm,Power Whip,Sludge,Grassy Terrain,Grass Whistle,Razor Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bind,Helping Hand,Worry Seed,Mud-Slap,Fury Cutter,Synthesis,Seed Bomb,Knock Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivysaur,2,2,0,Grass,Poison,Monster,Grass,Chlorophyll,Overgrow,Grassy Surge,60,62,63,80,80,60,34,Growth,5,Vine Whip,1,Growl,1,Tackle,8,Leech Seed,11,Razor Leaf,14,Poison Powder,14,Sleep Powder,16,Magical Leaf,18,Sludge,20,Seed Bomb,22,Take Down,26,Sweet Scent,30,Sludge Bomb,38,Worry Seed,42,Double-Edge,46,Synthesis,50,Solar Beam,54,Leaf Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Bullet Seed,Hidden Power,Sunny Day,Light Screen,Protect,Giga Drain,Safeguard,Solar Beam,Double Team,Sludge Bomb,Attract,Energy Ball,False Swipe,Flash,Swords Dance,Grass Knot,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skull Bash,Petal Dance,Curse,Ingrain,Nature Power,Charm,Magical Leaf,Amnesia,Leaf Storm,Power Whip,Sludge,Grassy Terrain,Grass Whistle,Razor Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bind,Helping Hand,Worry Seed,Mud-Slap,Fury Cutter,Synthesis,Seed Bomb,Knock Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,3,3,0,Grass,Poison,Monster,Grass,Chlorophyll,Thick Fat,Grassy Surge,80,82,83,110,100,80,0,Petal Blizzard,35,Growth,5,Vine Whip,1,Growl,1,Tackle,32,Petal Dance,1,Power Whip,1,Earth Power,8,Leech Seed,11,Razor Leaf,14,Poison Powder,14,Sleep Powder,16,Magical Leaf,18,Sludge,20,Seed Bomb,22,Take Down,26,Sweet Scent,30,Sludge Bomb,40,Worry Seed,45,Double-Edge,50,Synthesis,55,Solar Beam,60,Leaf Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar,Toxic,Bullet Seed,Hidden Power,Sunny Day,Hyper Beam,Light Screen,Protect,Giga Drain,Safeguard,Solar Beam,Earthquake,Double Team,Sludge Bomb,Attract,Energy Ball,False Swipe,Giga Impact,Flash,Swords Dance,Hyper Voice,Grass Knot,Cut,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skull Bash,Petal Dance,Curse,Ingrain,Nature Power,Charm,Magical Leaf,Amnesia,Leaf Storm,Power Whip,Sludge,Grassy Terrain,Grass Whistle,Razor Wind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bind,Helping Hand,Bulldoze,Worry Seed,Mud-Slap,Block,Fury Cutter,Stomping Tantrum,Synthesis,Seed Bomb,Knock Off,Outrage,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmander,4,4,0,Fire,,Monster,Dragon,Solar Power,Blaze,Drought,39,52,43,60,50,65,1,Growl,1,Scratch,5,Ember,8,Smokescreen,11,Metal Claw,12,Dragon Breath,14,Bite,20,Fire Fang,23,Slash,26,Flamethrower,29,Scary Face,32,Crunch,35,Dragon Pulse,36,Inferno,38,Fire Spin,41,Belly Drum,44,Flare Blitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Dragon Claw,Toxic,Hidden Power,Sunny Day,Protect,Iron Tail,Dig,Brick Break,Double Team,Flamethrower,Fire Blast,Rock Tomb,Aerial Ace,Attract,Overheat,False Swipe,Fling,Dragon Pulse,Will-O-Wisp,Shadow Claw,Swords Dance,Rock Slide,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belly Drum,Ancient Power,Bite,Dragon Rush,Metal Claw,Counter,Wing Attack,Dragon Tail,Outrage,Beat Up,Dragon Dance,Crunch,Flare Blitz,Air Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Mud-Slap,Fury Cutter,Fire Punch,Thunder Punch,Seismic Toss,Swift,Power-Up Punch,Heat Wave,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmeleon,5,5,0,Fire,,Monster,Dragon,Solar Power,Blaze,Drought,58,64,58,80,65,80,1,Growl,1,Scratch,5,Ember,8,Smokescreen,11,Metal Claw,14,Bite,16,Dragon Breath,22,Fire Fang,26,Slash,30,Flamethrower,34,Scary Face,38,Crunch,42,Dragon Pulse,46,Fire Spin,48,Inferno,50,Belly Drum,54,Flare Blitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Dragon Claw,Toxic,Hidden Power,Sunny Day,Protect,Iron Tail,Dig,Brick Break,Double Team,Flamethrower,Fire Blast,Rock Tomb,Aerial Ace,Attract,Overheat,False Swipe,Fling,Dragon Pulse,Will-O-Wisp,Shadow Claw,Swords Dance,Rock Slide,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belly Drum,Ancient Power,Bite,Dragon Rush,Metal Claw,Counter,Wing Attack,Dragon Tail,Outrage,Beat Up,Dragon Dance,Crunch,Flare Blitz,Air Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Mud-Slap,Fury Cutter,Fire Punch,Thunder Punch,Seismic Toss,Swift,Power-Up Punch,Heat Wave,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charizard,6,6,0,Fire,Dragon,Dragon,Monster,Levitate,Blaze,Drought,78,84,78,110,85,100,36,Air Slash,1,Dragon Claw,1,Shadow Claw,1,Growl,1,Scratch,1,Heat Wave,1,Wing Attack,5,Ember,8,Smokescreen,11,Metal Claw,14,Bite,16,Dragon Breath,22,Fire Fang,26,Slash,30,Flamethrower,34,Scary Face,39,Crunch,44,Dragon Pulse,49,Fire Spin,54,Belly Drum,54,Inferno,59,Flare Blitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Dragon Claw,Roar,Toxic,Hidden Power,Sunny Day,Hyper Beam,Protect,Solar Beam,Iron Tail,Earthquake,Dig,Brick Break,Double Team,Flamethrower,Fire Blast,Rock Tomb,Aerial Ace,Attract,Steel Wing,Overheat,Roost,Focus Blast,False Swipe,Fling,Endure,Dragon Pulse,Will-O-Wisp,Shadow Claw,Giga Impact,Swords Dance,Rock Slide,Hyper Voice,Hurricane,Cut,Fly,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belly Drum,Ancient Power,Bite,Dragon Rush,Metal Claw,Counter,Wing Attack,Dragon Tail,Outrage,Beat Up,Dragon Dance,Crunch,Flare Blitz,Air Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Bulldoze,Air Cutter,Mud-Slap,Dual Wingbeat,Fury Cutter,Ominous Wind,Fire Punch,Thunder Punch,Seismic Toss,Tailwind,Swift,Scorching Sands,Power-Up Punch,Heat Wave,Outrage,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squirtle,7,7,0,Water,,Monster,Water 1,Rain Dish,Torrent,Drizzle,44,48,65,50,64,43,1,Tail Whip,1,Tackle,5,Water Gun,8,Withdraw,11,Bubble,14,Bite,17,Rapid Spin,20,Water Pulse,23,Protect,26,Muddy Water,27,Shell Smash,29,Iron Defense,32,Skull Bash,35,Aqua Tail,38,Rain Dance,41,Hydro Pump,44,Water Spout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Water Pulse,Toxic,Hail,Hidden Power,Ice Beam,Blizzard,Protect,Rain Dance,Iron Tail,Dig,Brick Break,Double Team,Rock Tomb,Attract,Brine,False Swipe,Scald,Fling,Dragon Pulse,Gyro Ball,Surf,Strength,Rock Smash,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirror Coat,Haze,Mist,Flail,Yawn,Fake Out,Aqua Ring,Aqua Jet,Water Spout,Life Dew,Muddy Water,Aura Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Rollout,Mud-Slap,Ice Punch,Iron Defense,Seismic Toss,Dive,Zen Headbutt,Aqua Tail,Power-Up Punch,Icy Wind,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wartortle,8,8,0,Water,,Monster,Water 1,Rain Dish,Torrent,Drizzle,59,63,80,65,80,58,8,Withdraw,5,Water Gun,1,Tail Whip,1,Tackle,11,Bubble,14,Bite,16,Yawn,18,Rapid Spin,22,Water Pulse,26,Protect,30,Muddy Water,34,Iron Defense,35,Shell Smash,38,Skull Bash,42,Aqua Tail,46,Rain Dance,50,Hydro Pump,54,Water Spout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Water Pulse,Hail,Hidden Power,Ice Beam,Blizzard,Protect,Rain Dance,Iron Tail,Dig,Brick Break,Double Team,Rock Tomb,Attract,Brine,False Swipe,Scald,Fling,Dragon Pulse,Gyro Ball,Surf,Strength,Rock Smash,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirror Coat,Haze,Mist,Flail,Yawn,Fake Out,Aqua Ring,Aqua Jet,Water Spout,Life Dew,Muddy Water,Aura Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Rollout,Mud-Slap,Ice Punch,Iron Defense,Seismic Toss,Dive,Zen Headbutt,Aqua Tail,Power-Up Punch,Icy Wind,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,9,9,0,Water,Steel,Monster,Water 1,Mega Launcher,Torrent,Drizzle,79,83,100,90,105,78,0,Flash Cannon,8,Withdraw,5,Water Gun,1,Tail Whip,1,Tackle,11,Bubble,14,Bite,16,Yawn,18,Rapid Spin,22,Water Pulse,26,Protect,30,Muddy Water,34,Iron Defense,35,Shell Smash,36,Aura Sphere,39,Skull Bash,44,Aqua Tail,49,Rain Dance,54,Hydro Pump,59,Water Spout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Water Pulse,Roar,Toxic,Hail,Hidden Power,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Iron Tail,Earthquake,Dig,Brick Break,Double Team,Rock Tomb,Attract,Brine,Focus Blast,False Swipe,Scald,Fling,Dragon Pulse,Giga Impact,Avalanche,Gyro Ball,Dark Pulse,Rock Slide,Hyper Voice,Flash Cannon,Surf,Strength,Rock Smash,Waterfall,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirror Coat,Haze,Mist,Flail,Yawn,Fake Out,Aqua Ring,Aqua Jet,Water Spout,Life Dew,Muddy Water,Aura Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Bulldoze,Rollout,Mud-Slap,Signal Beam,Ice Punch,Iron Defense,Seismic Toss,Dive,Zen Headbutt,Aqua Tail,Power-Up Punch,Icy Wind,Zap Cannon,Liquidation,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caterpie,10,10,0,Bug,,Bug,Bug,Shield Dust,Run Away,Stench,45,30,35,20,20,45,1,String Shot,1,Tackle,1,Bug Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electroweb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metapod,11,11,0,Bug,,Bug,Bug,Shed Skin,Shed Skin,Shed Skin,50,20,55,25,25,30,7,Harden,7,Iron Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electroweb,Iron Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfree,12,12,0,Bug,Flying,Bug,Bug,Tinted Lens,Compound Eyes,Effect Spore,60,45,45,110,100,90,10,Gust,1,Bug Bite,1,String Shot,1,Tackle,1,Harden,11,Confusion,13,Stun Spore,13,Poison Powder,13,Sleep Powder,17,Air Cutter,19,Psybeam,19,Silver Wind,21,Supersonic,23,Air Slash,25,Safeguard,28,Bug Buzz,34,Psychic,37,Whirlwind,40,Rage Powder,40,Tailwind,43,Teleport,44,Quiver Dance,45,Hurricane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Sunny Day,Hyper Beam,Protect,Rain Dance,Giga Drain,Safeguard,Solar Beam,Psychic,Shadow Ball,Double Team,Aerial Ace,Attract,Thief,Skill Swap,Roost,Energy Ball,Endure,Bug Buzz,Giga Impact,Flash,Psych Up,Dazzling Gleam,Hurricane,U-turn,Fly,Defog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Air Cutter,Electroweb,Dual Wingbeat,Signal Beam,Ominous Wind,Iron Defense,Tailwind,Swift,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
