Name,PokemonID,MonsNo,FormNo,Type 1,Type 2,Egg Group 1,Egg Group 2,Ability1,Ability2,Ability3,HP,Attack,Defense,Special Attack,Special Defense,Speed,Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TM Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egg Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tutor Learnset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egg,0,0,0,Normal,,None,None,—,—,—,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulbasaur,1,1,0,Grass,Poison,Monster,Grass,Overgrow,Overgrow,Chlorophyll,45,49,49,65,65,45,1,Tackle,1,Growl,3,Vine Whip,6,Growth,9,Leech Seed,12,Razor Leaf,15,Poison Powder,15,Sleep Powder,18,Seed Bomb,21,Take Down,24,Sweet Scent,27,Synthesis,30,Worry Seed,33,Double-Edge,36,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Bullet Seed,Work Up,Sunny Day,Light Screen,Protect,Giga Drain,Safeguard,Solar Beam,Double Team,Sludge Bomb,Facade,Rest,Attract,Energy Ball,False Swipe,Endure,Flash,Swords Dance,Sleep Talk,Grass Knot,Swagger,Substitute,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skull Bash,Petal Dance,Curse,Ingrain,Nature Power,Charm,Magical Leaf,Amnesia,Leaf Storm,Power Whip,Sludge,Grassy Terrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bind,Helping Hand,Worry Seed,Mud-Slap,Fury Cutter,Synthesis,Seed Bomb,Knock Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivysaur,2,2,0,Grass,Poison,Monster,Grass,Overgrow,Overgrow,Chlorophyll,60,62,63,80,80,60,1,Tackle,1,Growl,1,Vine Whip,1,Growth,9,Leech Seed,12,Razor Leaf,15,Poison Powder,15,Sleep Powder,20,Seed Bomb,25,Take Down,30,Sweet Scent,35,Synthesis,40,Worry Seed,45,Double-Edge,50,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toxic,Bullet Seed,Work Up,Sunny Day,Light Screen,Protect,Giga Drain,Safeguard,Solar Beam,Double Team,Sludge Bomb,Facade,Rest,Attract,Energy Ball,False Swipe,Endure,Flash,Swords Dance,Sleep Talk,Grass Knot,Swagger,Substitute,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bind,Helping Hand,Worry Seed,Mud-Slap,Fury Cutter,Synthesis,Seed Bomb,Knock Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venusaur,3,3,0,Grass,Poison,Monster,Grass,Overgrow,Overgrow,Chlorophyll,80,82,83,100,100,80,1,Petal Blizzard,1,Petal Dance,1,Tackle,1,Growl,1,Vine Whip,1,Growth,9,Leech Seed,12,Razor Leaf,15,Poison Powder,15,Sleep Powder,20,Seed Bomb,25,Take Down,30,Sweet Scent,37,Synthesis,44,Worry Seed,51,Double-Edge,58,Solar Beam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roar,Toxic,Bullet Seed,Work Up,Sunny Day,Hyper Beam,Light Screen,Protect,Giga Drain,Safeguard,Solar Beam,Earthquake,Double Team,Sludge Bomb,Facade,Rest,Attract,Energy Ball,False Swipe,Endure,Giga Impact,Flash,Swords Dance,Sleep Talk,Bulldoze,Grass Knot,Swagger,Substitute,Cut,Strength,Rock Smash,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Bind,Helping Hand,Bulldoze,Worry Seed,Mud-Slap,Block,Fury Cutter,Stomping Tantrum,Synthesis,Seed Bomb,Knock Off,Outrage,Earth Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmander,4,4,0,Fire,,Monster,Dragon,Blaze,Blaze,Solar Power,39,52,43,60,50,65,1,Scratch,1,Growl,4,Ember,8,Smokescreen,12,Dragon Breath,17,Fire Fang,20,Slash,24,Flamethrower,28,Scary Face,32,Fire Spin,36,Inferno,40,Flare Blitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Dragon Claw,Work Up,Sunny Day,Protect,Iron Tail,Dig,Brick Break,Double Team,Flamethrower,Fire Blast,Rock Tomb,Aerial Ace,Facade,Rest,Attract,Overheat,False Swipe,Fling,Endure,Dragon Pulse,Will-O-Wisp,Shadow Claw,Swords Dance,Rock Slide,Sleep Talk,Swagger,Substitute,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belly Drum,Ancient Power,Bite,Dragon Rush,Metal Claw,Counter,Wing Attack,Dragon Tail,Outrage,Beat Up,Dragon Dance,Crunch,Flare Blitz,Air Cutter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Mud-Slap,Fury Cutter,Fire Punch,Thunder Punch,Seismic Toss,Swift,Power-Up Punch,Heat Wave,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charmeleon,5,5,0,Fire,,Monster,Dragon,Blaze,Blaze,Solar Power,58,64,58,80,65,80,1,Scratch,1,Growl,1,Ember,1,Smokescreen,12,Dragon Breath,19,Fire Fang,24,Slash,30,Flamethrower,37,Scary Face,42,Fire Spin,48,Inferno,54,Flare Blitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Dragon Claw,Work Up,Sunny Day,Protect,Iron Tail,Dig,Brick Break,Double Team,Flamethrower,Fire Blast,Rock Tomb,Aerial Ace,Facade,Rest,Attract,Overheat,False Swipe,Fling,Endure,Dragon Pulse,Will-O-Wisp,Shadow Claw,Swords Dance,Rock Slide,Sleep Talk,Swagger,Substitute,Cut,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Mud-Slap,Fury Cutter,Fire Punch,Thunder Punch,Seismic Toss,Swift,Power-Up Punch,Heat Wave,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charizard,6,6,0,Fire,Flying,Monster,Dragon,Blaze,Blaze,Solar Power,78,84,78,109,85,100,1,Air Slash,1,Dragon Claw,1,Heat Wave,1,Scratch,1,Growl,1,Ember,1,Smokescreen,12,Dragon Breath,19,Fire Fang,24,Slash,30,Flamethrower,39,Scary Face,46,Fire Spin,54,Inferno,62,Flare Blitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Dragon Claw,Roar,Work Up,Sunny Day,Hyper Beam,Protect,Solar Beam,Iron Tail,Earthquake,Dig,Brick Break,Double Team,Flamethrower,Fire Blast,Rock Tomb,Aerial Ace,Facade,Rest,Attract,Steel Wing,Overheat,Roost,Focus Blast,False Swipe,Fling,Endure,Dragon Pulse,Will-O-Wisp,Shadow Claw,Giga Impact,Swords Dance,Rock Slide,Sleep Talk,Bulldoze,Swagger,Substitute,Cut,Fly,Strength,Rock Smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Bulldoze,Air Cutter,Mud-Slap,Dual Wingbeat,Fury Cutter,Ominous Wind,Fire Punch,Thunder Punch,Seismic Toss,Tailwind,Swift,Scorching Sands,Power-Up Punch,Heat Wave,Outrage,Twister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Squirtle,7,7,0,Water,,Monster,Water 1,Torrent,Torrent,Rain Dish,44,48,65,50,64,43,1,Tackle,1,Tail Whip,3,Water Gun,6,Withdraw,9,Rapid Spin,12,Bite,15,Water Pulse,18,Protect,21,Rain Dance,24,Aqua Tail,27,Shell Smash,30,Iron Defense,33,Hydro Pump,36,Skull Bash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Water Pulse,Hail,Work Up,Ice Beam,Blizzard,Protect,Rain Dance,Iron Tail,Dig,Brick Break,Double Team,Rock Tomb,Facade,Rest,Attract,Scald,False Swipe,Brine,Fling,Endure,Dragon Pulse,Gyro Ball,Sleep Talk,Swagger,Substitute,Surf,Strength,Rock Smash,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirror Coat,Haze,Mist,Flail,Yawn,Fake Out,Aqua Ring,Aqua Jet,Water Spout,Life Dew,Muddy Water,Aura Sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Rollout,Mud-Slap,Ice Punch,Iron Defense,Seismic Toss,Dive,Zen Headbutt,Aqua Tail,Power-Up Punch,Icy Wind,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wartortle,8,8,0,Water,,Monster,Water 1,Torrent,Torrent,Rain Dish,59,63,80,65,80,58,1,Tackle,1,Tail Whip,1,Water Gun,1,Withdraw,9,Rapid Spin,12,Bite,15,Water Pulse,20,Protect,25,Rain Dance,30,Aqua Tail,35,Shell Smash,40,Iron Defense,45,Hydro Pump,50,Skull Bash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Water Pulse,Hail,Work Up,Ice Beam,Blizzard,Protect,Rain Dance,Iron Tail,Dig,Brick Break,Double Team,Rock Tomb,Facade,Rest,Attract,Scald,False Swipe,Brine,Fling,Endure,Dragon Pulse,Gyro Ball,Sleep Talk,Swagger,Substitute,Surf,Strength,Rock Smash,Waterfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Rollout,Mud-Slap,Ice Punch,Iron Defense,Seismic Toss,Dive,Zen Headbutt,Aqua Tail,Power-Up Punch,Icy Wind,Zap Cannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blastoise,9,9,0,Water,,Monster,Water 1,Torrent,Torrent,Rain Dish,79,83,100,85,105,78,1,Flash Cannon,1,Tackle,1,Tail Whip,1,Water Gun,1,Withdraw,9,Rapid Spin,12,Bite,15,Water Pulse,20,Protect,25,Rain Dance,30,Aqua Tail,35,Shell Smash,42,Iron Defense,49,Hydro Pump,56,Skull Bash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Water Pulse,Roar,Hail,Work Up,Ice Beam,Blizzard,Hyper Beam,Protect,Rain Dance,Iron Tail,Earthquake,Dig,Brick Break,Double Team,Rock Tomb,Facade,Rest,Attract,Scald,Focus Blast,False Swipe,Brine,Fling,Endure,Dragon Pulse,Giga Impact,Avalanche,Gyro Ball,Dark Pulse,Rock Slide,Sleep Talk,Bulldoze,Swagger,Substitute,Flash Cannon,Surf,Strength,Rock Smash,Waterfall,Rock Climb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snore,Helping Hand,Bulldoze,Rollout,Mud-Slap,Signal Beam,Ice Punch,Iron Defense,Seismic Toss,Dive,Zen Headbutt,Aqua Tail,Power-Up Punch,Icy Wind,Zap Cannon,Liquidation,Outrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
